;dokumen uji;precision;recall;fmeasure
0;dokumen 1;0,416666667;0,416666667;0,416666667
1;dokumen 2;0,625;0,555555556;0,588235294
2;dokumen 3;0,444444444;0,444444444;0,444444444
3;dokumen 4;0,5;0,5;0,5
4;dokumen 5;0,625;0,588235294;0,606060606
5;dokumen 6;0,444444444;0,444444444;0,444444444
6;dokumen 7;0,8;0,727272727;0,761904762
7;dokumen 8;0,636363636;0,636363636;0,636363636
8;dokumen 9;0,666666667;0,615384615;0,64
9;dokumen 10;0,666666667;0,666666667;0,666666667
;rata-rata;0,582525253;0,559503405;0,570478652
