,dokumen uji,precision,recall,fmeasure
0,dokumen 1,0.375,0.375,0.375
1,dokumen 2,0.5,0.5,0.5
2,dokumen 3,0.3333333333333333,0.3333333333333333,0.3333333333333333
3,dokumen 4,0.14285714285714285,0.14285714285714285,0.14285714285714285
4,dokumen 5,0.5454545454545454,0.5454545454545454,0.5454545454545454
5,dokumen 6,0.3333333333333333,0.3333333333333333,0.3333333333333333
6,dokumen 7,0.5714285714285714,0.5714285714285714,0.5714285714285714
7,dokumen 8,0.42857142857142855,0.42857142857142855,0.42857142857142855
8,dokumen 9,0.5,0.4444444444444444,0.47058823529411764
9,dokumen 10,0.4166666666666667,0.4166666666666667,0.4166666666666667
